Minutes,Survivor,Football Night in America,NCIS: Los Angeles,FBI,Manifest,The Good Doctor,Mid Wicket Tales,A Million Little Things,To Tell the Truth,The Masked Singer,Magnum P.I.,Chicago Fire,Grey's Anatomy,The Bachelor,Call Me Kat,Law & Order: SVU,Shark Tank,This Is Us,Next Level Chef,Animal Control
1,2.7,0.5,0.6,4.8,2.1,0.9,3.2,0.9,0.9,1.5,0.6,1.2,2.5,3.7,1.5,3.8,2.9,5.2,2.1,2.3
2,1.2,1.3,0.4,1.9,4.5,1.8,7.8,0.5,1.5,3.2,1.9,0.8,7.8,5.2,0.8,2.5,1.5,2.6,5.7,5.1
3,0.6,2.1,0.9,2.5,6.4,3.1,11.6,1.2,0.4,5.7,1.4,2.4,4.1,1.4,1.2,0.6,4.3,6.8,8.9,7.8
4,2.4,3.8,0.7,0.7,1.3,2.5,5.9,0.2,1.8,0.9,0.3,0.3,1.6,7.8,0.6,2.2,3.9,3.5,3.2,3.4
5,1.5,5.4,0.8,3.1,4.8,0.5,9.4,1.4,0.6,6.8,2.2,1.9,8.7,2.1,1.9,1.5,2.5,7.7,4.7,6.2
6,0.3,6.2,0.3,4.2,3.1,4.3,4.7,0.3,1.2,2.3,0.9,3.2,3.3,4.6,2.2,4.5,1.2,6.9,5.9,4.5
7,2.9,7.6,0.6,5.5,6.8,2.9,3.8,0.7,0.2,4.6,2.4,1.5,5.9,6.9,1.3,1.2,0.8,8.8,7.6,7.8
8,0.8,8.9,0.7,2.2,2.9,0.3,5.6,0.6,1.1,7.9,1.2,0.6,10.7,8.4,1.1,0.9,2.7,4.3,4.6,5.5
9,1.9,10.2,1,0.9,4.2,2.8,10.9,1.3,2.9,0.6,0.2,2.7,2.2,0.9,0.4,3.2,4.9,6.1,7.2,3.2
10,2.2,11.5,0.4,3.8,1.9,3.3,12.7,0.8,0.7,3.9,2.6,0.9,7.4,3.2,2,1,4.5,5.2,9.2,2.1
11,3.2,12.7,0.9,4.1,5.1,1.4,14.5,1.5,1.6,1.2,0.6,1.1,4.6,5.8,0.9,4,3.2,3.1,8.9,1.6
12,0.4,14.1,1.2,0.6,3.5,0.7,7.8,0.4,0.3,6.1,1.5,2.8,1.8,1.6,1.4,0.9,1.3,2.9,6.8,2.5
13,1.8,15.3,0.7,1.3,6.8,1.3,6.3,1.1,2.5,5.4,2,0.2,9.2,7.1,0.5,2.8,0.4,3.8,6,4.9
14,2.1,16.6,0.5,2.9,2.7,1.5,4.9,1.5,0.8,2.7,0.4,3,3.7,2.3,2.2,1.9,3.2,5.7,6.3,5.8
15,0.1,18.2,1.1,4,4.6,4.3,8.5,1,1.9,4.3,1.8,0.7,6.5,4.9,1.7,4.5,1.3,2.2,8.7,7.8
16,3,18.9,0.3,0.3,1.8,3.8,5.2,1.3,0.5,7.9,1.1,2.1,10.7,6.7,0.7,4.4,2.4,5.4,5.1,6.9
17,0.4,18.9,0.8,5.2,5.2,2.1,1.4,0.8,2.2,0.3,1.3,1.8,2.8,8.4,1.3,3.7,0.6,6.8,7.9,6.5
18,0.2,18.9,0.9,3.2,3,3.7,11.2,0.7,1.7,3.6,2.1,0.4,7.1,1.2,0.3,2.4,1.1,7.7,4.5,5.2
19,1.6,18.9,0.5,1.1,6.6,0.4,13.9,0.9,2.1,1.8,0.8,2.5,4.3,3.5,2.2,2,4.7,7.9,2.5,4.8
20,1.2,18.9,1.1,4.8,2.5,1.6,14.5,0.5,2.9,6.5,1.7,1.3,1.5,5.9,1.6,2.1,4.9,8,5.2,3.9
21,0.7,18.9,1,2.7,4.1,2,8.9,1.5,1.4,5.1,2.2,0.5,9.9,0.7,0.2,1.1,3.6,8.4,9.2,3.8
22,0.1,18.9,0.6,0.5,1.7,4.3,7.6,1.4,1.9,2.1,1.6,3.2,3.2,7.6,1.8,0.7,2.2,8.8,5.9,5.4
23,3.4,18.9,0.4,5,5.3,1.7,7.4,0.8,2.7,4.9,2.3,2,6.9,2.6,1,3.6,4.5,6.3,5.4,7
24,2.7,18.9,0.9,3.7,3.4,0.2,9.7,0.6,1.6,0.7,1.7,0.1,10.7,4.3,2.2,1.1,3.3,7.5,4.2,4.8
25,1.3,18.9,1.2,1,6.8,3.2,14.5,0.3,1.8,3.4,1.5,1.4,2.1,6.5,0.9,4.3,4.9,8.8,8,5.4
26,0.6,0.7,0.7,2.6,2.3,4.3,6.8,1.2,0.7,1,2.6,2.9,7.6,8.4,1.2,1.2,4.9,5.6,8.2,7.1
27,3,1.9,0.5,4.5,4,2.4,3.4,0.4,1.3,6.3,1.7,1.7,4.9,7.5,2.1,2.6,4.9,6,6.7,7
28,0.9,3.2,0.3,0.4,1.6,0.1,8.9,1.1,0.9,5.9,1.4,0.3,1.9,5.6,1.6,1.7,4.9,5.8,6.2,5.9
29,1.7,4.7,0.2,3.6,5.7,2.2,8.8,0.1,1.8,2.5,0.2,2.2,8.5,3.4,1.1,4.5,4,5,6.7,6
30,2.3,5.9,0.8,5.3,3.2,3.5,12.3,0.5,2.5,4.2,0.9,1.6,3.6,5.7,0.4,4.2,3.9,5.1,3.8,6.1
31,3.5,7.2,,2.3,6.5,1.1,10.6,1,,7.9,2,,6.2,7.9,0.9,3.4,2.7,,7.1,
32,2,8.5,,1.4,2.6,0.6,8.1,1.3,,5.6,0.6,,10.7,2.4,1.5,1.2,2.8,,8.5,
33,1.1,9.8,,0.8,4.3,3.9,4.9,0.7,,3.7,1.2,,2.3,4.1,0.8,0.5,2.9,,9.2,
